answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,36.3995657291,,,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,0.633554658123,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.400235636809,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.41706604407,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.383582351732,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.416966960866,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.383571537342,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.350234569984,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,d,0.350317870021,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.41706604407,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.333592099299,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.333578946661,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.333588591928,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.316938229661,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.33342111501,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.333598237195,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,d,0.350299164047,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.283635166879,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.316964242656,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.300142019257,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.317168546958,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,d,0.300226488418,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,a,0.350277827546,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,d,0.283591032473,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,d,0.317002823725,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,d,0.333614312642,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,d,0.30022385789,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,d,0.316958689319,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,d,0.333397440262,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,a,0.300246655795,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,a,0.316932384044,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,a,0.350265551751,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,a,0.33362425019,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,d,0.283534914553,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,d,0.350232524018,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,d,0.300320602846,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,a,0.283629321263,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,a,0.350264090347,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,d,0.283595708966,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
d,F045.png,F046.png,1.6,1,252,0,38,38,38,,,,,,,d,0.300233503158,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
a,F045.png,F046.png,1.6,0,5,0,39,39,39,,,,,,,a,0.316993763019,,,2017_11_06_1004,59.9962999528,One_NoFb_17ms,001,10005_1106,
