answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,42.0987617335,,,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,0.80020553014,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.550334717174,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.566872411146,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.483581847877,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.450255685106,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.350304963238,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,d,0.550202899636,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,d,0.416965180295,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,d,0.483617213558,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.733589447116,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.450289297118,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.383587284254,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.450280821045,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.450254808271,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.450349798737,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,d,0.316889947846,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.400281639424,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.366939401343,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.2,1,193,0,18,18,18,,,,,,,a,0.466947994328,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,266,0,19,19,19,,,,,,,a,0.383570624388,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.2,0,153,0,20,20,20,,,,,,,d,0.450284328384,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,34,0,21,21,21,,,,,,,a,0.383418639642,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.4,0,209,0,22,22,22,,,,,,,d,0.350311101081,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.8,1,249,0,23,23,23,,,,,,,d,0.466941271927,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.6,1,154,0,24,24,24,,,,,,,d,0.400245104629,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.2,1,182,0,25,25,25,,,,,,,d,0.583661464501,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.2,1,178,0,26,26,26,,,,,,,d,0.350252937689,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.6,1,105,0,27,27,27,,,,,,,d,0.316903684929,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,146,0,28,28,28,,,,,,,a,0.400233705774,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.8,0,85,0,29,29,29,,,,,,,a,0.666944136254,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.4,1,176,0,30,30,30,,,,,,,a,0.750329689987,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.2,1,1,0,31,31,31,,,,,,,a,0.583580503397,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.2,1,94,0,32,32,32,,,,,,,d,0.416894448934,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.8,1,40,0,33,33,33,,,,,,,d,0.43360692536,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.8,1,54,0,34,34,34,,,,,,,d,0.366976812973,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F046.png,F045.png,1.8,0,205,0,35,35,35,,,,,,,a,0.416879542736,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F046.png,F045.png,1.8,1,169,0,36,36,36,,,,,,,a,0.466936887749,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,d,0.550248787338,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F045.png,F046.png,1.6,1,252,0,38,38,38,,,,,,,d,0.40029128461,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F045.png,F046.png,1.6,0,5,0,39,39,39,,,,,,,d,0.783352175546,,,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F034.png,F028.png,1.2,0,204,,,,,0,0,0,0,,,,,a,1.01688462838,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F028.png,F034.png,1.8,0,216,,,,,0,1,1,1,,,,,a,0.683613355484,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,76,,,,,0,2,2,2,,,,,a,0.483405604029,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,228,,,,,0,3,3,3,,,,,a,0.433506966163,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F034.png,F028.png,1.8,0,142,,,,,0,4,4,4,,,,,a,0.483605522424,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,69,,,,,0,5,5,5,,,,,a,0.400260303104,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.8,1,95,,,,,0,6,6,6,,,,,d,0.466943902431,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.8,1,140,,,,,0,7,7,7,,,,,d,0.416994115851,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.4,1,265,,,,,0,8,8,8,,,,,a,0.483400635298,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.4,1,271,,,,,0,9,9,9,,,,,a,0.433555192092,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F034.png,F028.png,1.2,0,81,,,,,0,10,10,10,,,,,a,0.400299468405,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.8,1,279,,,,,0,11,11,11,,,,,d,0.433560160824,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F028.png,F034.png,1.4,0,257,,,,,0,12,12,12,,,,,d,0.416972487254,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.6,1,119,,,,,0,13,13,13,,,,,a,0.483626858744,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,198,,,,,0,14,14,14,,,,,d,0.383621480823,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.6,1,79,,,,,0,15,15,15,,,,,a,0.566881764053,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.6,1,114,,,,,0,16,16,16,,,,,d,0.450225288158,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F028.png,F034.png,1.8,0,230,,,,,0,17,17,17,,,,,d,0.466973422544,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.2,1,193,,,,,0,18,18,18,,,,,a,0.450296604076,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.4,1,266,,,,,0,19,19,19,,,,,a,0.416892110707,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F028.png,F034.png,1.2,0,153,,,,,0,20,20,20,,,,,d,0.433629138515,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F034.png,F028.png,1.4,0,34,,,,,0,21,21,21,,,,,a,0.400293622837,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.4,1,209,,,,,0,22,22,22,,,,,a,0.516970265939,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.8,1,249,,,,,0,23,23,23,,,,,d,0.433604879412,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.6,1,154,,,,,0,24,24,24,,,,,a,0.433577989803,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.2,1,182,,,,,0,25,25,25,,,,,a,0.483590323949,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,178,,,,,0,26,26,26,,,,,d,0.50025778951,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.6,1,105,,,,,0,27,27,27,,,,,d,0.55025726341,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F034.png,F028.png,1.4,0,146,,,,,0,28,28,28,,,,,a,0.500086514394,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.8,1,85,,,,,0,29,29,29,,,,,a,0.616935309448,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.4,1,176,,,,,0,30,30,30,,,,,d,0.550193839006,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
d,F028.png,F034.png,1.2,1,1,,,,,0,31,31,31,,,,,d,0.416907893736,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.2,1,94,,,,,0,32,32,32,,,,,a,0.733576294588,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
a,F034.png,F028.png,1.8,1,40,,,,,0,33,33,33,,,,,a,0.500235576355,2018_2_26_1118,60.0138571938,One_NoFb_17ms,001,YAD_10045_01,
