answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant
,,,,,,,,,,,,,,s,32.31601813,,,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,0.63358446,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.666886753,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.450047145,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.566901835,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.416880761,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.416918173,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,a,0.333550789,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,a,0.450254078,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,a,0.516895492,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.4,1,271,0,9,9,9,,,,,,,a,0.500358334,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.2,1,81,0,10,10,10,,,,,,,a,0.333580017,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.8,1,279,0,11,11,11,,,,,,,a,0.350210704,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.4,1,257,0,12,12,12,,,,,,,d,0.500206641,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.6,0,119,0,13,13,13,,,,,,,a,0.350219765,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F046.png,F045.png,1.2,0,198,0,14,14,14,,,,,,,a,0.366884064,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.6,1,79,0,15,15,15,,,,,,,d,0.416879008,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F046.png,F045.png,1.6,1,114,0,16,16,16,,,,,,,a,0.41692548,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.8,1,230,0,17,17,17,,,,,,,d,0.433564059,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
