answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,s,38.6993621864,,,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.2,1,204,0,0,0,0,,,,,,,a,1.13353399334,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F045.png,F046.png,1.8,0,216,0,1,1,1,,,,,,,d,0.416948034943,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.2,1,76,0,2,2,2,,,,,,,d,0.450249256439,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F046.png,F045.png,1.2,0,228,0,3,3,3,,,,,,,a,0.383631907162,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F045.png,F046.png,1.8,1,142,0,4,4,4,,,,,,,d,0.383614954919,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F045.png,F046.png,1.2,0,69,0,5,5,5,,,,,,,d,0.466970014404,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
d,F046.png,F045.png,1.8,0,95,0,6,6,6,,,,,,,d,0.466887883705,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.8,1,140,0,7,7,7,,,,,,,d,0.583583037936,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
a,F046.png,F045.png,1.4,1,265,0,8,8,8,,,,,,,d,0.500207811126,,,2019_1_21_0910,59.9996141929,One_NoFb_17ms,001,YAD_10102_01_2nd,
